연월일,시분초,온도,습도,강수량,풍향
2022-10-18,10:35:11,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:12,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:12,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:12,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:13,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:13,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:13,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:13,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:14,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:14,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:14,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:15,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:15,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:15,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:15,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:16,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:16,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
2022-10-18,10:35:16,9℃,습도56%,강수량0mm,풍향 남동 0.4 m/s
